id,created_at,text
1,Mon Jan 29 23:28:40 +0000 2024,"ஒருங்கிணைந்த தஞ்சாவூர் மாவட்ட கழக நிர்வாகிகள் ஆலோசனைக் கூட்டத்திற்கு வருகை தந்த ஐயா @OfficeOfOPS அவர்களுக்கு மாவட்ட கழக நிர்வாகிகள், தொண்டர்கள் மற்றும் மகளிர் அணியினர் இணைந்து உற்சாக வரவேற்பு அளித்தனர்.
#ADMK  #MGR  #AMMA  #OPS https://t.co/NIpRFDlEwN"
2,Mon Jan 29 20:34:59 +0000 2024,"https://t.co/UdAmYmbVnq
#MKStalin #DMK #CongressParty #ADMK @akram_faseeh @Ibrahim_dondiya @SAYIDURRAHMAN5"
3,Mon Jan 29 19:51:53 +0000 2024,"“தூக்கத்தில் இருந்து எழுப்பிக் கேட்டாலும் பாஜகவுடன் கூட்டணி இல்லை”

#Jayakumar | #AIADMK | #ADMK | #BJP | #Alliance 

#ADMKITWINGOFL @ADMKofficial @EPSTamilNadu @SPVelumanicbe @V_Jayaraman123 @MLA_SulurOffl  @sasiitcbe @satyenaiadmk @RamaAIADMK @VigneshSubbian  #spvarmy #spv24x7… https://t.co/FojBesYmvX"
4,Mon Jan 29 19:03:44 +0000 2024,"தமிழக முன்னேற்ற கழகம் பெயர்?
#தலைவர்விஜய் #VijayMakkalIyakkam #Vijay #AjithKumar #Ajith #VidaaMuyarachi #VidaMuyarchi #Rajinikanth𓃵 #AnimalTheFilm #BB17Finale #admk #dmk #ntk #BJP #Annamalai #UdhayanidhiStalin #ttv #OPanneerselvam #WrestleMania  #INDvsENG"
5,Mon Jan 29 18:58:34 +0000 2024,*திருப்பதியில் அதிமுக பொதுச்செயலாளர் எடப்பாடி பழனிசாமி சாமி தரிசனம்.! 🙏🏻#Tirupathi #Temple #EPS #ADMK* https://t.co/0VBOdjpqH1
6,Mon Jan 29 18:35:34 +0000 2024,"நாடாளுமன்ற தேர்தல் தொகுதி உடன்பாடு கூட்டணி கட்சிகளுக்காக காத்திருந்த அதிமுக: சிறிய கட்சி தலைவர்கள் கூட வராததால் ஏமாற்றம்

#Parliament #ADMK #DinakaranNews 

https://t.co/0AFfDGARXv"
7,Mon Jan 29 18:30:00 +0000 2024,"யாரும் இல்லாத டீ கடையில் அதிமுக யாருக்கு டீ ஆத்தறாங்கன்னு தெரியல - ப்ரியன், பத்திரிகையாளர்

Watch Interview : https://t.co/8UmOT7BEvl 

#EPS
#OPS
#ADMK
#BJP
#Annamalai
#Priyan
#Modi https://t.co/CuZoNu6f5P"
8,Mon Jan 29 18:22:12 +0000 2024,*திருப்பதியில் அதிமுக பொதுச்செயலாளர் எடப்பாடி பழனிசாமி சாமி தரிசனம்.! 🙏🏻#Tirupathi #Temple #EPS #ADMK https://t.co/fQeAb0pdza
9,Mon Jan 29 18:02:51 +0000 2024,"திருப்பதியில் அஇஅதிமுக கழக பொதுச்செயலாளர் 

மாண்புமிகு எடப்பாடியார் அவர்கள்  சாமி தரிசனம் 

அமைதியாக அமர்ந்து தியானம்.! 

#Tirupathi | #Temple | #EPS | #ADMK | #PolimerNews https://t.co/BbadOazwXU"
10,Mon Jan 29 17:55:05 +0000 2024,"🔴 #breakingnews அதிரடி காட்டும் தேர்தல் ஆணையம்!| #indianelection | #electioncommission #election2024 #ntk #SuicideSquadGame
#DMKGovt
#ADMK
#Mnm
#தமிழகமுன்னேற்றகழகம்
#விஜய்மக்கள்இயக்கம்
#விஜய்
#தளபதிவிஜய்

https://t.co/eTZYfmrosX"
11,Mon Jan 29 17:52:46 +0000 2024,"🔴 #breakingnews அதிரடி காட்டும் தேர்தல் ஆணையம்!| #indianelection | #electioncommission #election2024 #ntk #SuicideSquadGame
#DMKGovt
#ADMK
#Mnm
#தமிழகமுன்னேற்றகழகம்
#விஜய்மக்கள்இயக்கம்
#விஜய்
#தளபதிவிஜய்

https://t.co/eTZYfmrWiv"
12,Mon Jan 29 17:46:42 +0000 2024,"#NewProfilePic #ADMK_TRY  #ADMK #EdappadiPalaniswami
@EPSTamilNadu @Paranjothioffl
@satyenaiadmk @GowriSankarD_
@IndiraniSudala1 @rajarajacholait
@runmanirun @Kavi20861314 @aiadmkarasu @Thirupugazh_ @Vigneshadmk8 @Rythaamsenthil1 @musiri_aravinth https://t.co/zhKnKcLv6L"
