id,created_at,text
1,Wed Jan 24 23:56:00 +0000 2024,"Hello #DMK...
Look,the Bhagwan's name is being chanted on your chest, those who destroyed Sanatan have themselves been eradicate but Sanatan has been standing firm for centuries.
#JaiShriRaam https://t.co/SdcevcJl4H"
2,Wed Jan 24 23:45:00 +0000 2024,"நாடாளுமன்ற தேர்தலில் இளைஞர்களுக்கு அதிக வாய்ப்பு கொடுங்கள் - அமைச்சர் உதயநிதி கோரிக்கை!

#UdhayanidhiStalin #Tamilnadu #DMK #IBCTamilnadu

https://t.co/lhXod3DaFD"
3,Wed Jan 24 22:15:03 +0000 2024,'@StalinAnbalagan @Anbil_Mahesh @mkstalin We shouldn't be commenting on personal health issues pls avoid thanks as he may have parkinsons or some nervous disorder hope he get well soon but #DMK has to be dismantled immediately to save #TamilNadu @annamalai_k 2026 CM
4,Wed Jan 24 21:45:36 +0000 2024,"ஆம்பி பஸ் பிரச்சனைக்கு கோயம்பேட்டில் #DMK வை திட்ட ஆரம்பிச்சாங்க இப்போ வர திட்டிட்டு இருக்காங்க....

சேர்த்து வைச்ச மொத்த நல்ல பேரும் ஒத்த பஸ்ஸில் போச்சு.. சொந்த வீட்டிலே முட்டு கொடுக்க முடியாத கையறு நிலை"
5,Wed Jan 24 21:13:19 +0000 2024,'@Kumari_Jeyan #DMK kita P*******e vangi thingaravanga
6,Wed Jan 24 19:49:48 +0000 2024,"இளம்பெண் சித்ரவதை; போராட்டத்தை அறிவித்த அதிமுக - களத்தில் இறங்கும் எடப்பாடி!

#DMK #AIADMK #Chennai #EdappadiPalaniswami #Crime #IBCTamilnadu

https://t.co/2Z3oxzeZkB"
7,Wed Jan 24 19:40:52 +0000 2024,"#விழுப்புரம் மாவட்டம், #செஞ்சி திரு. சரவணன் அவர்களின் இல்ல திருமண வரவேற்பு விழாவில் மாண்புமிகு அமைச்சர் திரு. @GingeeMasthan அவர்களுடன் கலந்துகொண்டு மணமக்களை வாழ்த்திய போது,

உடன் கழக நிர்வாகிகள்.

@mkstalin @Udhaystalin @arivalayam #Gingee #DMK #gingeedmk https://t.co/1eHDrfB51K"
8,Wed Jan 24 19:38:19 +0000 2024,"#விழுப்புரம் மாவட்டம், #செஞ்சி ஒன்றியம்,அனந்தபுரம் பேரூராட்சி, தகவல் தொழில்நுட்ப அணி ஒருங்கிணைப்பாளர், பழக்கடை அஜித் அவர்களின் இல்ல வளையலணி விழாவில் மாண்புமிகு அமைச்சர் திரு. @GingeeMasthan அவர்களுடன் கலந்துகொண்ட போது,

உடன் கழக நிர்வாகிகள்.

@mkstalin @Udhaystalin #Gingee #DMK https://t.co/mBOD4dIUiF"
9,Wed Jan 24 19:35:34 +0000 2024,"#விழுப்புரம் மாவட்டம், #செஞ்சி ஒன்றியம், ஆலம்பூண்டி திரு. K.அன்பழகன் அவர்களின் இல்ல திருமண வரவேற்பு விழாவில் மாண்புமிகு அமைச்சர் திரு. @GingeeMasthan அவர்களுடன் கலந்துகொண்டு மணமக்களை வாழ்த்தியபோது,

உடன் கழக நிர்வாகிகள்.

@mkstalin @Udhaystalin @arivalayam #Gingee #DMK #gingeedmk https://t.co/9epYIapvme"
10,Wed Jan 24 19:30:03 +0000 2024,"மொழிப்போர் தியாகிகளுக்கு வீரவணக்கம் 🖤❤️#DMK #karur
@mkstalin @Udhaystalin @V_Senthilbalaji https://t.co/Q6mJdmhylt"
11,Wed Jan 24 19:19:35 +0000 2024,"தலைவர் திரு. @GingeeMokthiyar, உள்ளாட்சி பிரதிநிதிகள் மற்றும் துறை சார்ந்த அதிகாரிகள்.

@mkstalin @Udhaystalin @arivalayam #Gingee #DMK #gingeedmk"
12,Wed Jan 24 19:12:17 +0000 2024,"#விழுப்புரம் மாவட்டம், #செஞ்சி ஒன்றியம், கோணை, தெய்வத்திரு. சந்திரசேகர் - ஐயம்மாள் அவர்களின் மகன் ராமன் அவர்களின் மறைவிற்கு நேரில் அஞ்சலி செலுத்திய போது,

உடன் கழக நிர்வாகிகள்.

@mkstalin @Udhaystalin @arivalayam #Gingee #DMK #gingeedmk https://t.co/XEv3QguxaM"
13,Wed Jan 24 19:07:23 +0000 2024,"#விழுப்புரம் மாவட்டம், #செஞ்சி ஒன்றியம், நரசிங்கராயன்பேட்டை கிருஷ்ணன் அவர்களின் மகன் குமார் அவர்களின் மறைவிற்கு நேரில் அஞ்சலி செலுத்திய போது,

உடன் கழக நிர்வாகிகள்.

@mkstalin @Udhaystalin @arivalayam #Gingee #DMK #GingeeDMK https://t.co/xspvSp7Xno"
14,Wed Jan 24 19:05:14 +0000 2024,"திருப்பூர் மாவட்டம் பல்லடம் பகுதியில் நியூஸ் 7 தமிழ் தொலைக்காட்சி செய்தியாளர் நேசபிரபு, அடையாளம் தெரியாத 6 நபர்களால் நேற்றிரவு 8.45க்கு சரமாரியாக வெட்டப்பட்டு, உயிருக்கு ஆபத்தான நிலையில் மருத்துவமனையில் அனுமதிக்கப்பட்டுள்ளார். (#LawAndOrder #DMK #TNGovt #Tiruppur) காவல்துறைக்கு… https://t.co/KTME4I4fuR"
15,Wed Jan 24 19:03:39 +0000 2024,"#விழுப்புரம் மாவட்டம், #செஞ்சி ஒன்றியம், மேல்பாப்பாம்பாடி திரு. குமார் (எ) குப்பன் அவர்களின் மனைவி திருமதி. சிவகாமி அவர்களின் மறைவிற்கு நேரில் அஞ்சலி செலுத்திய போது,

உடன் கழக நிர்வாகிகள்.

@mkstalin @Udhaystalin @arivalayam #Gingee #DMK #GingeeDMK https://t.co/wpAMYj5syU"
16,Wed Jan 24 19:01:55 +0000 2024,"சில நேரங்களில் அமைதியும் வாழ்க்கை க்கு தேவை தான் 🤝🏻

அதுக்குன்னு நம்ம மாறிட்டோம் னு அர்த்தம் இல்லை 💕💕💕
#DMK
#life
#Kalaignar 💕🙏 https://t.co/Tgz6sBhCQW"
17,Wed Jan 24 18:19:03 +0000 2024,"Biggest fail by #DMK #KilambakkamBusTerminus  @Udhaystalin @mkstalin as a government should think about people. Government is for the ppl, by the ppl. Present ppl Struggle is huge. 
If decided KBT permanent. Devlop other cities and make #Chennai as dummy fort."
18,Wed Jan 24 18:08:28 +0000 2024,"அராஜக திமுக அரசை விரைவில் வரும் தேர்தலில் வீட்டிற்கும் அனுப்பும் நேரம் வந்துக் கொண்டே உள்ளது..

#Pmk #AnbumaniRamadoss #PMK2_0 #TNGovt #Dmk #DMKFails #TamilNadu #Salem #ArulRamadossMLA #TN_25படைவீடுபாமக https://t.co/CQ3WVrOzOi"
