id,created_at,text
1,Tue Jan 30 19:20:19 +0000 2024,Vijay might get Christianity money for election expenses. https://t.co/YY4dTwmgFF
2,Tue Jan 30 18:18:22 +0000 2024,Thala for a reason is the only idealogy Vijay na needs to win in the election 🥰
3,Tue Jan 30 17:46:36 +0000 2024,'@SCGpidge @rajeshoffcl @iBeingSankalp Election la ninna affidavit submit pannanum.. athilae Vijay ku wife name enganu suthadi vilum.. daily campaign poganum.. jeyicha assembly ku poganum .. pathirikaiyalar ah santhikanum.. ithukellam sari pattu vara matan vijay
4,Tue Jan 30 14:46:54 +0000 2024,"Tamil superstar Thalapathy Vijay, has begun the process of launching his political party in Tamil Nadu. 

He has reportedly been elected as party president. The party will soon be registered with the Election Commission of India.

 #VijayThalapathy #TamilNadu https://t.co/NugkukTjIG"
5,Tue Jan 30 14:38:26 +0000 2024,"'@geejeyz @Forumkeralam2 @actorvijay @ikamalhaasan @VanathiBJP Exactly Vijay's fanbase might be bigger than Kamal's but in 2019 LS election, MNM scored 3.5% votes just because educated people and A centre voters considered Kamal to be experienced and knowledgeable both of which Vijay lacks."
6,Tue Jan 30 14:29:53 +0000 2024,'@arminiu_ss Atleast Vijay Sinha will surely be with BJP if Nitish Kumar takes another  U turn after 2024 Lok Sabha election.
7,Tue Jan 30 14:24:09 +0000 2024,"'@Forumkeralam2 @actorvijay No chance... Even @ikamalhaasan didn't won minimum 1 seat in assembly election. #KamalHaasan lost against @VanathiBJP in #Coimbatore. 

Vijay has fan base, but that will not convert as vote since he has many bad remarks in cinema career itself."
8,Tue Jan 30 14:15:02 +0000 2024,'@rajeshoffcl @iBeingSankalp Enaku therinju Vijay election la nikka matan.. vmi alungala nippatuvan..
9,Tue Jan 30 14:13:05 +0000 2024,"'@TheAakashavaani Vijay is going to take break for 2 years (political break for 2026 election)

After break it may happen🤞"
10,Tue Jan 30 14:01:59 +0000 2024,"'@Forumkeralam2 @actorvijay He will lose. Tough to win election with this toxic fan base. 

Vijay might have good intentions.
His fans should also have that thought"
11,Tue Jan 30 11:13:14 +0000 2024,"Thalapathy Vijay is also preparing to enter politics

Vijay is going to launch his party
According to reports, Vijay will be the president of his party.

The process of registering it with the Election Commission has been started.

 #TamilNadu https://t.co/yCxQRv93pl"
12,Tue Jan 30 11:09:48 +0000 2024,Lok Sabha election production ADMK 20+ Dmk 15+ other 3+ if this result will come only vijay will be not participate this election means.  #SunNews  #savukkesanker #Savukkumedia  @polimernews @SunTV #tnelection  #gobackmodi #vijay @ibctamilmedia
13,Tue Jan 30 10:15:46 +0000 2024,'@itisprashanth @actorvijay Before election Vijay will also back stab public like @rajinikanth to ensure DMK victory. Both are DMK b team. At least @ikamalhaasan is honest to accept it.
14,Tue Jan 30 09:43:29 +0000 2024,"Vijay Rangarajan has been appointed the new head of the Electoral Commission, which oversees election finance. He's currently Director General at the FCDO, working on ""climate, energy, environment, global health &amp; Covid"". Also worked at MoJ and Cabinet Office on election issues"
15,Tue Jan 30 09:28:35 +0000 2024,'@Vijay_Gill321 Bc isliye ki jaldi yaaha bhi election ho
16,Tue Jan 30 09:02:51 +0000 2024,'@BATMANashlin @mrharichandrar1 Election la umbuvan vijay 👍👍
17,Tue Jan 30 08:57:03 +0000 2024,"'@mechanic_jockey His orator skills

He doesn't own media when he speaks it will easily go to the roots

Udhay vs Vijay

Udhay only positive is he have structural organization

But Vijay have crowd pulling power which is 10x greater than udhay

He may not win first election"
